marca-id;marca-descr;produto-classe;produto-ean;produto-dun;produto-conservacao;produto-descr
3;BRF - Sadia;Aves;7891515515331;;Congelado;Meio da Asa de Frango Sadia Bio 1kg -Caixa c/12
3;BRF - Sadia;Suínos;7891515513719;;Congelado;Lombo Suíno In Natura Sadia 0,8 kg a 1,5 kg
4;BRF - Perdigão;Aves;7891515513320;;Resfriado;Peito Peru Defumado Resfriado Perdigão 2,6kg Caixa 5,2kg
4;BRF - Perdigão;Aves;7891515513146;;Congelado;Filé de Peito de Frango s/ Pele s/ Osso Perdigão 2kg -Caixa c/6
4;BRF - Perdigão;Aves;7891515513139;;Congelado;Filé de Peito de Frango s/ Pele s/ Osso Perdigão 1kg -Caixa c/16
4;BRF - Perdigão;Aves;7891515404062;;Resfriado;Presunto de Peru Perdigão 3,45kg -Caixa c/2
4;BRF - Perdigão;Suínos;7891515511234;;Resfriado;Linguiça Tipo Calabresa Reta Defumada Perdigão 2,5kg -Caixa c/3
4;BRF - Perdigão;Outros;7891515510343;;Resfriado;Salsicha Hot-Dog sem Corante Perdigão 500g -Caixa c/12
4;BRF - Perdigão;Lanches;7891515936310;;Congelado;Fetuccini Com Molho Bolonhesa Congelado Perdigão 350g -Caixa c/12
3;BRF - Sadia;Outros;7893000027701;;Congelado;Hot Pocket Sadia X-Burguer 145g -Caixa c/18
4;BRF - Perdigão;Aves;7891515544584;;Congelado;Coxa Sobrecoxa de Frango s/ Osso e c/ Pele Perdigão Caixa 15Kg
3;BRF - Sadia;Suínos;7893000024014;;Congelado;Linguiça Toscana Sadia 5kg -Caixa c/3
3;BRF - Sadia;Suínos;7893000023994;;Congelado;Linguiça de Carne Suína Sadia 5kg -Caixa c/3
3;BRF - Sadia;Suínos;7891515502256;;Congelado;Pernil Semi Desossado In Natura Sadia 4 kg a 5 kg
3;BRF - Sadia;Aves;7891515500023;;Congelado;Sobrecoxa de Frango Sadia Bio 1kg -Caixa c/12
4;BRF - Perdigão;Aves;7891515498924;;Congelado;Sambiquira de Peru Perdigão 2kg -Caixa c/8
4;BRF - Perdigão;Aves;7891515498139;;Congelado;Asa Int Peru Itf Cong Perd Pvar
4;BRF - Perdigão;Aves;7891515495817;;Congelado;Asa Tulipa Frango Perdigão 1Kg -Caixa c/16
4;BRF - Perdigão;Aves;7891515495404;;Congelado;Tulipa de Frango Perdigão Food Service Caixa 15Kg -Caixa c/1
3;BRF - Sadia;Aves;7891515495435;;Congelado;Coxa de Frango Sadia Bio 1kg -Caixa c/12
4;BRF - Perdigão;Aves;7891515495398;;Congelado;Asa de Frango Inteira Perdigão Food Service Caixa 15Kg -Caixa c/1
3;BRF - Sadia;Suínos;7893000018778;;Congelado;Carré Suíno Congelado Sadia PVAR
3;BRF - Sadia;Aves;7891515494810;;Congelado;Coxa com Sobrecoxa de Frango sem Osso Sadia 1kg -Caixa c/12
